  #Hasil perhitungannya adalah
  #Ketinggian       jarak
  #   (m)            (m)
      0.00           0.00
      1.37           1.41
      2.63           2.83
      3.80           4.24
      4.87           5.66
      5.85           7.07
      6.72           8.49
      7.50           9.90
      8.18          11.31
      8.76          12.73
      9.24          14.14
      9.63          15.56
      9.91          16.97
     10.10          18.38
     10.19          19.80
     10.19          21.21
     10.08          22.63
      9.88          24.04
      9.58          25.46
      9.18          26.87
